Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,
BOILER,12657.850000,12657.850000,16629.475000,16629.475000,16629.475000,16629.475000,16629.475000,16629.475000,13597.850000,13597.850000,12657.850000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4199.200000,4199.200000,5139.200000,
HPLOW,7008.361374,7008.361374,7008.361374,8370.525000,8370.525000,8370.525000,8370.525000,8370.525000,7202.950000,7202.950000,7202.950000,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,0.000000,1362.163626,1362.163626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
ICENGINE,5333.788626,3971.625000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
