Costs[kCHF] 
SCENARIO,1,2,3,4,5,6,7,8,9,10,11,
FUELCOST,379.771294,386.578820,306.321780,190.373919,192.443201,206.928173,211.066736,227.620990,69.884125,77.649028,70.386103,
ELECCOST,6707.869557,6710.301447,6920.971911,7127.475825,7127.475825,7127.475825,7127.475825,7127.475825,7216.762201,7216.762201,7226.531113,
CAPEX,303.739456,368.008430,336.719096,285.654923,285.654923,285.654923,285.654923,285.654923,376.844489,376.844489,392.769309,
Emissions,98059010.960748,70398660.623890,16350995.271092,15175253.677967,15175253.677967,15175253.677967,15175253.677967,15175253.677967,12654478.409248,12654478.409248,12280827.871254,
