Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-836.452571,-836.452571,-1023.694288,
HPLOW,-1164.793693,-1164.793693,-1164.793693,-1391.186072,-1391.186072,-1391.186072,-1391.186072,-1391.186072,-1197.134435,-1197.134435,-1197.134435,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,0.000000,1021.622720,1021.622720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,
ICENGINE,4053.679356,3018.435000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
