EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,
BOILER,1.040202,1.040202,3.063287,3.063287,3.063287,3.063287,3.063287,2.358269,0.766325,0.520985,0.488919,
HPHIGH,4.848666,4.848666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.498371,2.947673,
HPLOW,27.273871,27.273871,30.099452,30.099452,30.099452,30.099452,30.099452,29.183211,29.183211,26.684840,26.235537,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.458544,3.490610,
TURBINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.621260,3.213204,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
