Utility_Capacity[kW], 1,2,3,4,5,6,7,8,9,10,11,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,-836.452571,-836.452571,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-902.148972,-1017.155767,
HPLOW,-976.170770,-976.170770,-1391.186072,-1391.186072,-1391.186072,-1391.186072,-1391.186072,-1164.793693,-1197.134435,-1197.134435,-1100.236156,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1502.000542,1515.926434,
TURBINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1021.622720,3149.400000,0.000000,0.000000,
SOLAR,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,308.462385,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
