Costs[kCHF] 
SCENARIO1,2,3,4,5,6,7,8,9,10,11,12,13,14,
FUELCOST,35.193051,35.193051,51.766019,51.766019,51.766019,206.928173,206.928173,206.928173,494.920404,494.920404,494.920404,512.183911,915.791562,999.626751,
ELECCOST,3755.292541,4506.351049,5997.937178,6897.360181,6934.845834,6831.202083,6897.596056,6860.710515,6983.116404,7122.778733,7681.428045,9388.911285,9187.777839,12039.432908,
CAPEX,194.013407,194.013407,186.442584,186.704852,186.704852,142.642846,142.642846,142.642846,224.695985,224.695985,224.695985,241.832176,1059.929346,1153.946576,
