EnergyProduced[GWh], BAU,LOW_E,HIGH_E,LOW_ND,HIGH_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,-0.133931,-3.386531,-3.386531,-3.386531,-3.386531,-3.386531,-3.386531,-3.386531,-3.386531,
HPLOW,-3.680937,-1.131835,-1.131835,-1.131835,-1.131835,-1.131835,-1.131835,-1.131835,-1.131835,
SOFC,0.000000,0.000394,0.000394,0.000394,0.000394,0.000394,0.000394,0.000394,0.000394,
TURBINE,6.715455,6.715134,6.715134,6.715134,6.715134,6.715134,6.715134,6.715134,6.715134,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.000000,0.000122,0.000122,0.000122,0.000122,0.000122,0.000122,0.000122,0.000122,
end;
