EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.939914,-1.027672,-1.027672,-1.027672,
HPLOW,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.236615,-6.313559,-6.313559,-6.313559,-6.313559,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,2.409903,2.409903,2.409903,2.409903,2.409903,2.409903,2.409903,2.409903,2.409903,2.409903,0.000000,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,
ICENGINE,0.186458,0.186458,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
