EnergyProduced[GWh], 1,2,3,4,5,6,7,8,9,10,11,12,13,14,
BOILER,0.520985,0.520985,0.766325,0.766325,0.766325,0.766325,0.766325,0.766325,0.766325,0.766325,0.766325,0.520985,0.520985,0.520985,
HPHIGH,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.887032,3.132372,3.132372,3.132372,
HPLOW,29.183211,29.183211,29.183211,29.183211,29.183211,29.183211,29.183211,29.183211,29.183211,29.183211,29.509382,29.509382,29.509382,29.509382,
SOFC,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
TURBINE,3.213204,3.213204,3.213204,3.213204,3.213204,3.213204,3.213204,3.213204,3.213204,3.213204,0.000000,0.000000,0.000000,0.000000,
ICENGINE,0.245340,0.245340,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
end;
