EnergyProduced[GWh], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,0.766325,0.520985,0.520985,0.520985,0.520985,0.433900,0.766325,0.766325,3.063287,0.766325,0.000000,0.520985,3.063287,
HPHIGH,0.000000,3.173666,2.498371,0.000000,3.132372,0.000000,0.000000,0.000000,0.000000,0.000000,2.678861,3.173666,0.000000,
HPLOW,29.183211,29.468089,26.684840,29.183211,29.509382,29.183211,29.183211,29.183211,30.099452,29.183211,26.504350,29.468089,30.099452,
SOFC,0.000000,0.000000,3.458544,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.680891,0.000000,0.000000,
TURBINE,3.213204,0.000000,0.000000,3.458544,0.000000,0.000000,3.213204,3.213204,0.000000,3.213204,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,3.545629,0.000000,0.000000,0.000000,0.000000,0.298638,0.000000,0.000000,
end;
