Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,13597.850000,12657.850000,12657.850000,12657.850000,12625.025000,11041.667723,13597.850000,13597.850000,16629.475000,13597.850000,3185.400000,12657.850000,16629.475000,
HPHIGH,0.000000,5139.200000,4529.012280,0.000000,5139.200000,0.000000,0.000000,0.000000,0.000000,0.000000,8532.450000,5139.200000,0.000000,
HPLOW,7202.950000,7202.950000,7202.950000,7202.950000,7235.775000,7235.775000,7202.950000,7202.950000,8370.525000,7202.950000,7202.950000,7202.950000,8370.525000,
SOFC,0.000000,0.000000,610.187720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,649.416132,0.000000,0.000000,
TURBINE,4199.200000,0.000000,0.000000,5139.200000,0.000000,0.000000,4199.200000,4199.200000,0.000000,4199.200000,0.000000,0.000000,0.000000,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,6722.557277,0.000000,0.000000,0.000000,0.000000,5429.783868,0.000000,0.000000,
end;
