EnergyProduced[GWh], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,-1.039079,-0.829458,0.000000,-1.027672,0.000000,0.000000,0.000000,0.000000,0.000000,-0.901907,-1.039079,0.000000,
HPLOW,-6.236615,-6.304091,-5.757297,-6.231505,-6.313559,-6.222040,-6.236615,-6.236615,-6.453323,-6.236615,-5.721795,-6.304091,-6.453323,
SOFC,0.000000,0.000000,7.981255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,8.494363,0.000000,0.000000,
TURBINE,2.409903,0.000000,0.000000,2.593908,0.000000,0.000000,2.409903,2.409903,0.000000,2.409903,0.000000,0.000000,0.000000,
SOLAR,2.206886,2.206886,2.705215,2.206886,2.206886,2.206886,2.206886,2.206886,2.206886,2.705215,2.705215,2.206886,2.206886,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,2.694678,0.000000,0.000000,0.000000,0.000000,0.226965,0.000000,0.000000,
end;
