Utility_Capacity[kW], BAU,LOW_E,HIGH_E,LOW_N,HIGH_N,LOW_D,HIGH_D,LOW_I,HIGH_I,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,
BOILER,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
HPHIGH,0.000000,-1379.428052,-1215.645740,0.000000,-1379.428052,0.000000,0.000000,0.000000,0.000000,0.000000,-2290.220440,-1379.428052,0.000000,
HPLOW,-1613.138651,-1613.138651,-1613.138651,-1613.138651,-1620.489983,-1620.489983,-1613.138651,-1613.138651,-1874.623232,-1613.138651,-1613.138651,-1613.138651,-1874.623232,
SOFC,0.000000,0.000000,1408.125509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1498.652612,0.000000,0.000000,
TURBINE,3149.400000,0.000000,0.000000,3854.400000,0.000000,0.000000,3149.400000,3149.400000,0.000000,3149.400000,0.000000,0.000000,0.000000,
SOLAR,251.640367,251.640367,308.462385,251.640367,251.640367,251.640367,251.640367,251.640367,251.640367,308.462385,308.462385,251.640367,251.640367,
ICENGINE,0.000000,0.000000,0.000000,0.000000,0.000000,5109.143530,0.000000,0.000000,0.000000,0.000000,4126.635740,0.000000,0.000000,
end;
