EnergyProduced[GWh], BAU,LOW_E,HIGH_E,LOW_ND,HIGH_ND,LOW_E_HIGH_ND,LOW_E_LOW_ND,HIGH_E_HIGH_ND,HIGH_E_LOW_ND,
BOILER,0.000000,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,0.000034,
HPHIGH,0.469285,19.699372,19.699372,19.699372,19.699372,19.699372,19.699372,19.699372,19.699372,
HPLOW,23.739515,4.509428,4.509428,4.509428,4.509428,4.509428,4.509428,4.509428,4.509428,
SOFC,0.000000,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,
TURBINE,8.953940,8.953733,8.953733,8.953733,8.953733,8.953733,8.953733,8.953733,8.953733,
ICENGINE,0.000000,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,0.000086,
end;
